Time A1 (s),Pressure A1 (mmHg),Volume A1 (μl)
3.316,91.2339,33.298
3.317,90.8273,32.4228
3.318,90.298,31.4308
3.319,89.6388,30.3618
3.320,88.8568,29.1663
3.321,87.9441,27.9206
3.322,86.9578,26.7802
3.323,85.8678,25.6979
3.324,84.7236,24.7986
3.325,83.4427,23.9964
3.326,82.121,23.3168
3.327,80.7433,22.7786
3.328,79.3576,22.3104
3.329,77.9466,21.9518
3.330,76.4521,21.6449
3.331,74.8241,21.3662
3.332,72.906,21.0951
3.333,70.2546,20.8355
3.334,65.6249,20.5916
3.335,59.1099,20.3986
3.336,53.4161,20.1329
3.337,48.3769,19.9045
3.338,43.424,19.7396
3.339,38.4567,19.6576
3.340,33.617,19.7234
3.341,29.1045,19.8712
3.342,25.0047,20.0876
3.343,21.2238,20.3704
3.344,17.7373,20.6699
3.345,14.5994,21.042
3.346,11.8213,21.4133
3.347,9.3715,21.7898
3.348,7.27708,22.1004
3.349,5.53086,22.3401
3.350,4.14133,22.5601
3.351,3.07601,22.771
3.352,2.36344,22.9779
3.353,1.87568,23.2252
3.354,1.61799,23.455
3.355,1.50578,23.7039
3.356,1.51027,24.0427
3.357,1.54879,24.4324
3.358,1.63325,24.9019
3.359,1.71525,25.4115
3.360,1.80742,26.0145
3.361,1.86931,26.6947
3.362,1.93844,27.4039
3.363,2.01081,28.1326
3.364,2.13296,28.7646
3.365,2.23324,29.3068
3.366,2.39118,29.8411
3.367,2.52671,30.3384
3.368,2.70699,30.8001
3.369,2.86829,31.2435
3.370,3.05952,31.6591
3.371,3.23127,32.0865
3.372,3.38972,32.5329
3.373,3.53139,32.9911
3.374,3.67428,33.533
3.375,3.84067,34.0905
3.376,3.98744,34.6833
3.377,4.12624,35.2789
3.378,4.28336,35.8851
3.379,4.39874,36.4722
3.380,4.53825,36.926
3.381,4.65911,37.2701
3.382,4.77651,37.461
3.383,4.87626,37.5276
3.384,4.97754,37.5589
3.385,5.0562,37.5351
3.386,5.12391,37.4652
3.387,5.18116,37.378
3.388,5.24386,37.2777
3.389,5.28855,37.2131
3.390,5.32344,37.2465
3.391,5.34131,37.3182
3.392,5.35583,37.4769
3.393,5.37127,37.642
3.394,5.42825,37.8475
3.395,5.46724,38.0726
3.396,5.50117,38.2826
3.397,5.50444,38.453
3.398,5.5119,38.4382
3.399,5.51976,38.3355
3.400,5.56734,38.1641
3.401,5.61694,37.9281
3.402,5.73924,37.6974
3.403,5.98337,37.4655
3.404,6.42009,37.2313
3.405,7.13,37.0925
3.406,8.29369,37.0837
3.407,10.2725,37.1535
3.408,14.1747,37.3574
3.409,19.5798,37.6129
3.410,25.6408,37.9745
3.411,32.2117,38.3403
3.412,39.0713,38.7383
3.413,45.8322,39.1186
3.414,52.2324,39.3984
3.415,58.3757,39.5804
3.416,64.3394,39.6352
3.417,70.1844,39.5753
3.418,75.9269,39.4743
3.419,81.2577,39.2451
3.420,85.5189,38.9084
3.421,88.5326,38.5274
3.422,90.521,38.1264
3.423,91.6594,37.7696
3.424,92.3448,37.4809
3.425,92.822,37.1719
3.426,93.1722,36.8784
3.427,93.4625,36.5258
3.428,93.6959,36.1574
3.429,93.8472,35.7225
3.430,93.9194,35.2022
3.431,93.8557,34.5986
3.432,93.6735,33.8623
3.433,93.3231,33.0282
3.434,92.8503,32.0975
3.435,92.2323,31.039
3.436,91.5279,29.8994
3.437,90.6846,28.6989
3.438,89.7564,27.4447
3.439,88.723,26.3361
3.440,87.5689,25.3486
3.441,86.3077,24.5288
3.442,84.9485,23.8549
3.443,83.5368,23.2504
3.444,82.1422,22.7677
3.445,80.7228,22.3473
3.446,79.2704,22.0133
3.447,77.6903,21.7271
3.448,75.8923,21.4382
3.449,73.6556,21.156
3.450,70.0931,20.8803
3.451,64.0082,20.5888
3.452,57.7187,20.3396
3.453,52.4732,20.0559
3.454,47.4692,19.7843
3.455,42.4628,19.6108
3.456,37.4769,19.5084
3.457,32.7282,19.5452
3.458,28.3531,19.6637
3.459,24.3265,19.8344
3.460,20.6131,20.1068
3.461,17.2514,20.4135
3.462,14.2347,20.7898
3.463,11.5874,21.1593
3.464,9.28168,21.4893
3.465,7.33665,21.7935
3.466,5.74589,22.0337
3.467,4.5104,22.2555
3.468,3.60167,22.4741
3.469,3.00378,22.6688
3.470,2.65079,22.8892
3.471,2.47009,23.1327
3.472,2.38122,23.3916
3.473,2.37481,23.7419
3.474,2.40393,24.1224
3.475,2.43679,24.6018
3.476,2.48279,25.1724
3.477,2.53249,25.7887
3.478,2.57745,26.4843
3.479,2.62852,27.18
3.480,2.69532,27.8468
3.481,2.78581,28.4522
3.482,2.89934,28.9229
3.483,3.04848,29.3899
3.484,3.18623,29.8363
3.485,3.34434,30.2666
3.486,3.46139,30.7166
3.487,3.5986,31.1353
3.488,3.73948,31.5502
3.489,3.87726,32.0172
3.490,3.97591,32.4827
3.491,4.11797,33.0087
3.492,4.25488,33.5521
3.493,4.37459,34.1131
3.494,4.4948,34.7242
3.495,4.61478,35.2982
3.496,4.72494,35.8456
3.497,4.85261,36.2794
3.498,4.95432,36.5595
3.499,5.06933,36.7857
3.500,5.18504,36.8992
3.501,5.27972,36.9471
3.502,5.36572,36.9442
3.503,5.46045,36.8805
3.504,5.50901,36.7972
3.505,5.56148,36.7305
3.506,5.59139,36.653
3.507,5.65117,36.6704
3.508,5.67053,36.7147
3.509,5.69018,36.8281
3.510,5.70357,36.9789
3.511,5.73038,37.1418
3.512,5.75606,37.3352
3.513,5.7922,37.4431
3.514,5.80428,37.4623
3.515,5.84912,37.3822
3.516,5.88483,37.1634
3.517,5.95075,36.9044
3.518,6.06293,36.6121
3.519,6.28491,36.3005
3.520,6.69398,36.0309
3.521,7.36408,35.783
3.522,8.4412,35.5991
3.523,10.1917,35.6114
3.524,13.5748,35.7224
3.525,19.2109,35.9672
3.526,25.5766,36.2799
3.527,32.2985,36.6548
3.528,39.3173,37.0848
3.529,46.2169,37.4919
3.530,52.7515,37.8801
3.531,58.9883,38.1639
3.532,64.9782,38.3427
3.533,70.8888,38.4618
3.534,76.7421,38.4847
3.535,82.4123,38.3895
3.536,87.3453,38.209
3.537,91.0331,37.8991
3.538,93.4896,37.5514
3.539,94.9882,37.2367
3.540,95.8407,36.9222
3.541,96.3766,36.6766
3.542,96.7189,36.4164
3.543,96.9629,36.1002
3.544,97.1354,35.7083
3.545,97.2844,35.2612
3.546,97.3703,34.7725
3.547,97.405,34.1877
3.548,97.3096,33.5159
3.549,97.0906,32.7302
3.550,96.7447,31.8405
3.551,96.2692,30.8542
3.552,95.6734,29.7669
3.553,94.954,28.5685
3.554,94.1005,27.3776
3.555,93.1654,26.2181
3.556,92.1017,25.1854
3.557,90.9385,24.3506
3.558,89.7007,23.6374
3.559,88.4046,23.0884
3.560,87.0191,22.6218
3.561,85.6071,22.2577
3.562,84.1152,21.9936
3.563,82.5305,21.7884
3.564,80.7256,21.6279
3.565,78.4885,21.4577
3.566,75.0038,21.2938
3.567,69.14,21.142
3.568,62.9006,20.964
3.569,57.6157,20.7598
3.570,52.5945,20.5598
3.571,47.547,20.3431
3.572,42.499,20.2263
3.573,37.7192,20.1889
3.574,33.2933,20.2307
3.575,29.1823,20.337
3.576,25.36,20.4906
3.577,21.8446,20.7422
3.578,18.6404,21.0535
3.579,15.7847,21.4261
3.580,13.2422,21.8089
3.581,10.9995,22.095
3.582,9.10227,22.3264
3.583,7.60162,22.4717
3.584,6.47531,22.6257
3.585,5.67221,22.7998
3.586,5.12623,22.967
3.587,4.76345,23.136
3.588,4.53593,23.3656
3.589,4.43688,23.6318
3.590,4.36693,23.9944
3.591,4.32491,24.4403
3.592,4.28437,24.9596
3.593,4.24981,25.5812
3.594,4.23036,26.2414
3.595,4.25115,26.9761
3.596,4.289,27.716
3.597,4.34668,28.3737
3.598,4.44401,28.9997
3.599,4.55497,29.4961
3.600,4.65427,29.9677
3.601,4.75465,30.4541
3.602,4.86044,30.8978
3.603,4.96566,31.3062
3.604,5.0649,31.7135
3.605,5.17411,32.1105
3.606,5.27419,32.5599
3.607,5.38371,33.0341
3.608,5.50186,33.5387
3.609,5.61393,34.1032
3.610,5.73067,34.6538
3.611,5.83283,35.2398
3.612,5.9291,35.7854
3.613,6.03347,36.2794
3.614,6.12604,36.706
3.615,6.20038,36.9326
3.616,6.29354,37.1348
3.617,6.3789,37.2868
3.618,6.44296,37.3744
3.619,6.47987,37.4341
3.620,6.52353,37.4275
3.621,6.5541,37.3845
3.622,6.57019,37.4033
3.623,6.59116,37.4213
3.624,6.59708,37.5115
3.625,6.58842,37.6347
3.626,6.60789,37.8023
3.627,6.60918,38.0449
3.628,6.59443,38.2806
3.629,6.59308,38.5368
3.630,6.58387,38.7225
3.631,6.59335,38.7405
3.632,6.62433,38.6918
3.633,6.66375,38.5119
3.634,6.74998,38.301
3.635,6.9136,38.0975
3.636,7.245,37.845
3.637,7.80407,37.6216
3.638,8.7227,37.475
3.639,10.2068,37.3846
3.640,12.9979,37.4828
3.641,17.7149,37.6967
3.642,23.5037,37.9701
3.643,29.8962,38.3413
3.644,36.6152,38.7484
3.645,43.5032,39.2343
3.646,50.2207,39.6627
3.647,56.636,40.0229
3.648,62.8292,40.297
3.649,68.9003,40.4553
3.650,74.85,40.5024
3.651,80.5245,40.4781
3.652,85.2748,40.3018
3.653,88.6933,40.0543
3.654,90.9919,39.6825
3.655,92.3201,39.2589
3.656,93.112,38.9157
3.657,93.6208,38.5647
3.658,94.0027,38.2121
3.659,94.3014,37.833
