Time C2,Pressure C2, Volume C2
13.38333333,46.3176,50.4476
13.4,48.581,50.1522
13.41666667,50.3813,49.6957
13.43333333,51.8177,49.0877
13.45,52.9737,48.3504
13.46666667,53.8961,47.5006
13.48333333,54.6339,46.5828
13.5,55.2248,45.5665
13.51666667,55.6794,44.3855
13.53333333,55.9899,43.0807
13.55,56.1756,41.7437
13.56666667,56.251,40.356
13.58333333,56.191,38.8482
13.6,55.9637,37.2654
13.61666667,55.6525,35.6987
13.63333333,55.2239,34.1353
13.65,54.6841,32.659
13.66666667,54.0824,31.2537
13.68333333,53.4087,29.9467
13.7,52.7325,28.7342
13.71666667,52.098,27.5161
13.73333333,51.5807,26.3506
13.75,51.2443,25.297
13.76666667,50.9934,24.339
13.78333333,50.6197,23.4366
13.8,50.1143,22.6155
13.81666667,49.4808,21.82
13.83333333,48.6714,21.1164
13.85,47.7483,20.5284
13.86666667,46.6508,20.0485
13.88333333,45.3956,19.5684
13.9,43.952,19.1656
13.91666667,42.3854,18.8438
13.93333333,40.6685,18.6104
13.95,38.5631,18.3459
13.96666667,35.6259,18.1211
13.98333333,32.6578,17.8988
14,30.073,17.7225
14.01666667,27.729,17.5605
14.03333333,25.3832,17.443
14.05,22.8907,17.3287
14.06666667,20.3833,17.2476
14.08333333,18.2319,17.1309
14.1,16.5503,17.0253
14.11666667,15.131,16.9277
14.13333333,13.8528,16.8428
14.15,12.699,16.7711
14.16666667,11.6292,16.7361
14.18333333,10.6546,16.7213
14.2,9.69948,16.727
14.21666667,8.83951,16.776
14.23333333,7.72851,16.8654
14.25,6.57235,16.9797
14.26666667,5.56044,17.1292
14.28333333,4.71867,17.3083
14.3,4.02883,17.5168
14.31666667,3.58017,17.7535
14.33333333,3.29337,18.0127
14.35,3.15432,18.2861
14.36666667,3.17418,18.5734
14.38333333,3.28941,18.8394
14.4,3.42683,19.109
14.41666667,3.53498,19.3857
14.43333333,3.58777,19.6724
14.45,3.60175,19.9605
14.46666667,3.57033,20.2506
14.48333333,3.54971,20.5684
14.5,3.49237,20.9075
14.51666667,3.47673,21.2486
14.53333333,3.44947,21.5883
14.55,3.42896,21.9261
14.56666667,3.41813,22.2643
14.58333333,3.41276,22.6077
14.6,3.39903,22.946
14.61666667,3.41388,23.2442
14.63333333,3.42334,23.5161
14.65,3.4483,23.7938
14.66666667,3.44817,24.0738
14.68333333,3.46419,24.3492
14.7,3.4595,24.6194
14.71666667,3.48765,24.9026
14.73333333,3.49428,25.1925
14.75,3.51941,25.4616
14.76666667,3.52632,25.7258
14.78333333,3.56312,26.0128
14.8,3.56877,26.3255
14.81666667,3.6029,26.6733
14.83333333,3.60839,27.0361
14.85,3.65214,27.3848
14.86666667,3.66682,27.7455
14.88333333,3.70628,28.147
14.9,3.72257,28.5718
14.91666667,3.74285,28.9913
14.93333333,3.77405,29.418
14.95,3.80068,29.8887
14.96666667,3.83339,30.3974
14.98333333,3.86668,31.0298
15,3.87726,31.711
15.01666667,3.88601,32.237
15.03333333,3.89057,32.682
15.05,3.92617,33.148
15.06666667,3.93155,33.6321
15.08333333,3.95949,34.0923
15.1,3.96735,34.5475
15.11666667,3.9718,35.0298
15.13333333,3.99227,35.5344
15.15,3.99825,35.9814
15.16666667,4.00133,36.395
15.18333333,3.99647,36.7605
15.2,4.00881,37.1316
15.21666667,4.02076,37.5736
15.23333333,4.02412,38.0475
15.25,4.03196,38.5267
15.26666667,4.02906,38.9976
15.28333333,4.03987,39.4449
15.3,4.03711,39.9046
15.31666667,4.07454,40.374
15.33333333,4.17102,40.8407
15.35,4.36728,41.3563
15.36666667,4.74815,41.8885
15.38333333,5.37379,42.4639
15.4,6.3203,43.0131
15.41666667,7.6338,43.5472
15.43333333,9.57413,44.0562
15.45,12.8171,44.5814
15.46666667,16.92,45.0496
15.48333333,21.0508,45.4763
15.5,25.2771,45.8193
15.51666667,29.5364,46.1036
15.53333333,33.5732,46.3156
15.55,37.2667,46.4709
15.56666667,40.5893,46.5243
15.58333333,43.5258,46.5136
15.6,46.0335,46.4274
15.61666667,48.1061,46.3248
15.63333333,49.741,46.0837
15.65,51.0327,45.6496
15.66666667,52.0563,44.9294
15.68333333,52.8917,43.9766
15.7,53.5511,43.0136
15.71666667,54.1003,42.0255
15.73333333,54.4954,40.9279
15.75,54.7787,39.7416
15.76666667,54.9197,38.507
15.78333333,54.9175,37.2144
15.8,54.7768,35.8441
15.81666667,54.5053,34.4289
15.83333333,54.1432,33.0647
15.85,53.6881,31.751
15.86666667,53.1537,30.5165
15.88333333,52.5851,29.3673
15.9,51.9817,28.2153
15.91666667,51.4444,27.0896
15.93333333,51.0522,25.9987
15.95,50.8018,24.9501
15.96666667,50.6149,23.9704
15.98333333,50.3396,23.071
16,49.9014,22.2719
16.01666667,49.2853,21.5808
16.03333333,48.49,20.9342
16.05,47.5415,20.3647
16.06666667,46.4025,19.828
16.08333333,45.1018,19.3614
16.1,43.6614,18.9422
16.11666667,42.0808,18.6061
16.13333333,40.3771,18.2858
16.15,38.4299,18.0095
16.16666667,35.7593,17.7549
16.18333333,32.7744,17.5531
16.2,30.1812,17.3667
16.21666667,27.8647,17.2179
16.23333333,25.5359,17.091
16.25,23.0424,17.01
16.26666667,20.5824,16.9236
16.28333333,18.4307,16.8515
16.3,16.7404,16.7143
16.31666667,15.3277,16.5594
16.33333333,14.0111,16.4552
16.35,12.8034,16.3772
16.36666667,11.7273,16.3302
16.38333333,10.7239,16.3139
16.4,9.76586,16.3346
16.41666667,8.80954,16.3968
16.43333333,7.85606,16.4811
16.45,6.91625,16.588
16.46666667,6.04302,16.7389
16.48333333,5.19588,16.9247
16.5,4.37193,17.1391
16.51666667,3.74961,17.3889
16.53333333,3.38805,17.6526
16.55,3.15308,17.9284
16.56666667,3.04148,18.2031
16.58333333,3.05871,18.4924
16.6,3.21134,18.7781
16.61666667,3.36249,19.0617
16.63333333,3.4531,19.3583
16.65,3.49632,19.6587
16.66666667,3.48925,19.9707
16.68333333,3.46146,20.2858
16.7,3.45704,20.6089
16.71666667,3.44227,20.9379
16.73333333,3.41627,21.2557
16.75,3.39883,21.5489
16.76666667,3.39421,21.8394
16.78333333,3.38375,22.1164
16.8,3.38742,22.3748
16.81666667,3.40171,22.6095
16.83333333,3.41908,22.8557
16.85,3.41209,23.098
16.86666667,3.42978,23.3787
16.88333333,3.44684,23.7054
16.9,3.4706,23.9793
16.91666667,3.48259,24.1525
16.93333333,3.5168,24.339
16.95,3.5315,24.5398
16.96666667,3.54759,24.7664
16.98333333,3.54902,25.005
17,3.58387,25.2803
17.01666667,3.61153,25.5808
17.03333333,3.63396,25.9155
17.05,3.6652,26.2604
17.06666667,3.7027,26.6527
17.08333333,3.71013,27.0759
17.1,3.73337,27.5319
17.11666667,3.76155,28.0177
17.13333333,3.80894,28.5419
17.15,3.81798,29.0882
17.16666667,3.84203,29.6646
17.18333333,3.86431,30.2545
17.2,3.89869,30.8365
17.21666667,3.90146,31.412
17.23333333,3.93157,32.0286
17.25,3.93808,32.6665
17.26666667,3.94684,33.2948
17.28333333,3.97696,33.9132
17.3,4.01672,34.5297
17.31666667,4.01534,35.137
17.33333333,4.02904,35.7361
17.35,4.03643,36.3184
17.36666667,4.03752,36.7974
17.38333333,4.04685,37.1895
17.4,4.0579,37.5917
17.41666667,4.06174,38.0253
17.43333333,4.05605,38.5485
17.45,4.05831,39.1286
17.46666667,4.07702,39.773
17.48333333,4.07936,40.4604
17.5,4.07609,41.2527
17.51666667,4.09102,42.0823
17.53333333,4.14096,42.7863
17.55,4.26585,43.3464
17.56666667,4.55094,43.8666
17.58333333,5.06927,44.4206
17.6,5.8907,45.0827
17.61666667,7.04708,45.7312
17.63333333,8.69626,46.3388
17.65,11.4531,46.8804
17.66666667,15.4651,47.3607
17.68333333,19.6599,47.7515
17.7,23.9347,48.1002
17.71666667,28.3283,48.3803
17.73333333,32.5353,48.589
17.75,36.4074,48.6876
17.76666667,39.9367,48.6985
17.78333333,43.0599,48.5926
17.8,45.7874,48.387
17.81666667,48.022,48.0613
17.83333333,49.8028,47.6266
17.85,51.2117,47.0667
17.86666667,52.374,46.3954
17.88333333,53.3073,45.6219
17.9,54.0669,44.7512
17.91666667,54.7007,43.7476
17.93333333,55.1766,42.6116
17.95,55.4975,41.372
17.96666667,55.6833,40.0508
17.98333333,55.7443,38.6572
18,55.6885,37.2079
18.01666667,55.4861,35.7157
18.03333333,55.1567,34.1969
18.05,54.7141,32.7792
18.06666667,54.1983,31.5126
18.08333333,53.59,30.3256
18.1,52.9375,29.2477
18.11666667,52.2126,28.2184
18.13333333,51.5184,27.238
18.15,50.9788,26.2881
18.16666667,50.5632,25.3633
18.18333333,50.2496,24.3995
18.2,49.8909,23.4155
18.21666667,49.3756,22.5899
18.23333333,48.7142,21.9422
18.25,47.9044,21.3371
18.26666667,46.9119,20.7838
18.28333333,45.7606,20.2562
18.3,44.491,19.7664
18.31666667,43.0742,19.3198
18.33333333,41.5371,18.9244
18.35,39.8585,18.5832
18.36666667,37.7713,18.3082
18.38333333,34.8091,18.0413
18.4,31.8541,17.7892
18.41666667,29.3021,17.5735
18.43333333,26.9752,17.4102
18.45,24.6189,17.2704
18.46666667,22.108,17.1584
18.48333333,19.6529,17.054
18.5,17.6052,16.9548
18.51666667,15.9994,16.8626
18.53333333,14.644,16.7743
18.55,13.4115,16.6901
18.56666667,12.3261,16.61
