Time C1,Pressure C1, Volume C1,Time C2,Pressure C2, Volume C2,Time C3,Pressure C3, Volume C3
0.578,83.477,27.445,0.393,6.1,44.7627,2.65,61.9806,16.8042
0.579,84.2316,25.8623,0.394,7.35681,45.293,2.651,60.1986,16.0903
0.58,85.0686,24.2707,0.395,9.17227,45.8194,2.652,58.1203,15.4421
0.581,85.941,22.674,0.396,12.2595,46.3961,2.653,55.6889,14.8673
0.582,86.8355,21.0452,0.397,16.3066,46.9365,2.654,52.9452,14.3706
0.583,87.7059,19.4327,0.398,20.4503,47.4309,2.655,49.8193,13.9666
0.584,88.4911,17.9515,0.399,24.7001,47.8349,2.656,46.3253,13.6341
0.585,89.1333,16.5793,0.4,29.0482,48.1635,2.657,42.4267,13.3782
0.586,89.5574,15.3677,0.401,33.1856,48.4023,2.658,37.8584,13.1753
0.587,89.6172,14.2858,0.402,36.9988,48.5458,2.659,32.3781,12.9817
0.588,89.2361,13.2437,0.403,40.4355,48.5031,2.66,26.9873,12.7489
0.589,88.2825,12.2941,0.404,43.4772,48.2721,2.661,22.4624,12.622
0.59,86.6712,11.4042,0.405,46.0672,47.9735,2.662,18.6752,12.5853
0.591,84.2822,10.6133,0.406,48.1801,47.6525,2.663,15.3799,12.6302
0.592,81.0222,9.86764,0.407,49.869,47.2101,2.664,12.5302,12.7516
0.593,76.8678,9.21289,0.408,51.2104,46.6613,2.665,10.057,12.9541
0.594,71.8751,8.62835,0.409,52.2931,45.9929,2.666,7.969,13.2094
0.595,66.0754,8.14541,0.41,53.1691,45.198,2.667,6.20892,13.5444
0.596,59.2269,7.71942,0.411,53.8519,44.3146,2.668,4.78535,13.92
0.597,51.7663,7.37538,0.412,54.3986,43.36,2.669,3.69474,14.3558
0.598,44.9409,7.06508,0.413,54.8292,42.2775,2.67,2.94387,14.8548
0.599,38.6043,6.83472,0.414,55.1146,41.0694,2.671,2.45284,15.4242
0.6,32.577,6.66079,0.415,55.2703,39.792,2.672,2.23439,16.0432
0.601,26.9673,6.56676,0.416,55.2989,38.4626,2.673,2.14259,16.7144
0.602,22.1128,6.51389,0.417,55.1485,37.0783,2.674,2.16341,17.4377
0.603,17.9527,6.54349,0.418,54.8852,35.6624,2.675,2.21215,18.1917
0.604,14.4726,6.60053,0.419,54.5168,34.2834,2.676,2.30116,18.9144
0.605,11.4861,6.72156,0.42,54.059,32.9669,2.677,2.36379,19.6489
0.606,8.95444,6.87242,0.421,53.5373,31.654,2.678,2.41477,20.4048
0.607,6.84067,7.08275,0.422,52.9401,30.3702,2.679,2.4354,21.1874
0.608,5.13637,7.32588,0.423,52.3061,29.1266,2.68,2.47244,21.9937
0.609,3.81098,7.61806,0.424,51.7438,27.9421,2.681,2.46914,22.8232
0.61,2.86566,7.94571,0.425,51.307,26.7639,2.682,2.47485,23.6727
0.611,2.19825,8.32956,0.426,50.9895,25.5917,2.683,2.49445,24.5263
0.612,1.82798,8.72737,0.427,50.7894,24.4999,2.684,2.51042,25.3193
0.613,1.65863,9.15319,0.428,50.5441,23.4969,2.685,2.48899,26.0959
0.614,1.64314,9.58765,0.429,50.1315,22.6083,2.686,2.50337,26.8614
0.615,1.68339,10.0437,0.43,49.5359,21.8498,2.687,2.52757,27.6363
0.616,1.73943,10.5041,0.431,48.7586,21.1576,2.688,2.57081,28.407
0.617,1.78166,10.9764,0.432,47.8298,20.5436,2.689,2.58072,29.1782
0.618,1.86423,11.4646,0.433,46.7482,20.0017,2.69,2.62616,29.962
0.619,1.93545,11.9648,0.434,45.5005,19.5455,2.691,2.65489,30.7208
0.62,2.00307,12.4736,0.435,44.0687,19.1502,2.692,2.69048,31.3983
0.621,2.03607,12.9836,0.436,42.5562,18.8235,2.693,2.76103,32.0334
0.622,2.07031,13.4869,0.437,40.8894,18.5161,2.694,2.81159,32.6339
0.623,2.06952,13.9762,0.438,39.0085,18.2494,2.695,2.86319,33.1775
0.624,2.06948,14.4699,0.439,36.5087,18.0072,2.696,2.91225,33.6265
0.625,2.07457,14.965,0.44,33.4501,17.7954,2.697,2.96465,34.0326
0.626,2.06783,15.4593,0.441,30.707,17.5882,2.698,3.0371,34.3655
0.627,2.06257,15.9498,0.442,28.2874,17.3927,2.699,3.09743,34.686
0.628,2.05625,16.4426,0.443,25.9334,17.2256,2.7,3.161,34.9908
0.629,2.04907,16.9324,0.444,23.43,17.0955,2.701,3.20885,35.2854
0.63,2.05549,17.3891,0.445,20.8691,16.9683,2.702,3.24923,35.5692
0.631,2.07146,17.8107,0.446,18.5674,16.842,2.703,3.29189,35.8878
0.632,2.07908,18.2287,0.447,16.7527,16.7343,2.704,3.34349,36.244
0.633,2.0799,18.6411,0.448,15.2451,16.655,2.705,3.3865,36.6053
0.634,2.12762,19.1148,0.449,13.8618,16.581,2.706,3.42209,36.9446
0.635,2.14814,19.6234,0.45,12.5878,16.509,2.707,3.46156,37.2844
0.636,2.20192,19.995,0.451,11.4424,16.4592,2.708,3.48256,37.6194
0.637,2.23771,20.2554,0.452,10.4188,16.4314,2.709,3.51039,37.9739
0.638,2.29463,20.5357,0.453,9.45924,16.4394,2.71,3.52609,38.332
0.639,2.36068,20.8296,0.454,8.54349,16.4753,2.711,3.56418,38.6749
0.64,2.43768,21.1502,0.455,7.6184,16.5432,2.712,3.59253,39.0423
0.641,2.51755,21.4883,0.456,6.71152,16.6384,2.713,3.59589,39.3787
0.642,2.62938,21.8676,0.457,5.87543,16.7712,2.714,3.5947,39.6628
0.643,2.71801,22.2633,0.458,5.07168,16.9352,2.715,3.58641,39.8726
0.644,2.82964,22.6843,0.459,4.24468,17.1254,2.716,3.57935,40.0171
0.645,2.93812,23.1232,0.46,3.63901,17.3432,2.717,3.58157,40.1543
0.646,3.07678,23.5764,0.461,3.25177,17.5981,2.718,3.57773,40.2622
0.647,3.19859,24.0321,0.462,3.05032,17.9309,2.719,3.56978,40.3247
0.648,3.32991,24.456,0.463,2.95904,18.253,2.72,3.54829,40.3386
0.649,3.40556,24.8625,0.464,3.0029,18.5114,2.721,3.57297,40.2935
0.65,3.50065,25.2915,0.465,3.11827,18.7458,2.722,3.67286,40.191
0.651,3.5584,25.7233,0.466,3.2573,18.9612,2.723,3.87749,40.0356
0.652,3.59623,26.0921,0.467,3.35148,19.1814,2.724,4.34538,39.8789
0.653,3.59695,26.4367,0.468,3.40174,19.4055,2.725,5.16664,39.7407
0.654,3.63066,26.7721,0.469,3.37759,19.646,2.726,6.44065,39.6071
0.655,3.62499,27.1152,0.47,3.36216,19.8896,2.727,8.20175,39.4344
0.656,3.62102,27.4779,0.471,3.37341,20.1429,2.728,10.5588,39.2315
0.657,3.60853,27.8697,0.472,3.37163,20.3978,2.729,13.718,38.998
0.658,3.6218,28.2881,0.473,3.35352,20.6597,2.73,17.684,38.7856
0.659,3.61841,28.7311,0.474,3.3163,20.9242,2.731,22.1938,38.4726
0.66,3.60902,29.1564,0.475,3.29798,21.1875,2.732,26.888,38.0736
0.661,3.61593,29.5997,0.476,3.30178,21.4386,2.733,31.6013,37.6514
0.662,3.64658,30.1429,0.477,3.31086,21.6871,2.734,36.346,37.2144
0.663,3.73822,30.7634,0.478,3.3153,21.9079,2.735,41.1143,36.7111
0.664,3.98974,31.4975,0.479,3.29858,22.1229,2.736,45.5171,36.1745
0.665,4.4492,32.2766,0.48,3.31208,22.321,2.737,49.455,35.6166
0.666,5.20399,33.1187,0.481,3.33145,22.5359,2.738,52.9917,35.0499
0.667,6.38284,33.9629,0.482,3.34282,22.7556,2.739,56.0659,34.484
0.668,8.0964,34.795,0.483,3.36848,22.9875,2.74,58.6175,33.9295
0.669,10.7564,35.5825,0.484,3.38832,23.2034,2.741,60.7416,33.3394
0.67,14.8506,36.3726,0.485,3.39386,23.4264,2.742,62.4899,32.7366
0.671,20.0813,37.1386,0.486,3.40392,23.6378,2.743,63.9704,32.0756
0.672,26.3068,37.9262,0.487,3.41889,23.8762,2.744,65.1874,31.3738
0.673,33.1685,38.6398,0.488,3.44302,24.1114,2.745,66.183,30.5864
0.674,40.1353,39.2861,0.489,3.45123,24.367,2.746,66.9492,29.7516
0.675,47.2927,39.7385,0.49,3.45449,24.6302,2.747,67.5525,28.8842
0.676,54.4109,40.0107,0.491,3.47029,24.9264,2.748,67.9748,27.9936
0.677,60.6662,40.2348,0.492,3.49652,25.2378,2.749,68.2451,27.0715
0.678,65.6436,40.4567,0.493,3.55184,25.5728,2.75,68.3665,26.1351
0.679,69.4108,40.5542,0.494,3.57309,25.9067,2.751,68.3638,25.1864
0.68,72.007,40.5664,0.495,3.60214,26.2883,2.752,68.2329,24.227
0.681,73.718,40.4439,0.496,3.63138,26.7154,2.753,67.9486,23.2051
0.682,74.9048,40.2116,0.497,3.67662,27.1654,2.754,67.5053,22.1701
0.683,75.8543,39.8224,0.498,3.69308,27.6117,2.755,66.951,21.1465
0.684,76.7089,39.3059,0.499,3.71607,28.0759,2.756,66.2566,20.1425
0.685,77.535,38.615,0.5,3.73539,28.5364,2.757,65.4043,19.1744
0.686,78.3669,37.7673,0.501,3.74781,29.0233,2.758,64.3522,18.2493
0.687,79.1809,36.7516,0.502,3.75923,29.5188,2.759,63.084,17.3815
0.688,79.9746,35.5875,0.503,3.78836,29.9574,2.76,61.522,16.578
0.689,80.7523,34.3146,0.504,3.80281,30.3771,2.761,59.6658,15.8576
0.69,81.5031,32.9481,0.505,3.80409,30.8504,2.762,57.5291,15.2305
0.691,82.2199,31.4649,0.506,3.82434,31.3329,2.763,55.0637,14.7007
0.692,82.9306,29.8913,0.507,3.84327,31.8326,2.764,52.2467,14.2523
0.693,83.6251,28.2897,0.508,3.83845,32.3281,2.765,49.104,13.8441
0.694,84.3508,26.6435,0.509,3.84617,32.8017,2.766,45.5763,13.5112
0.695,85.1,24.9966,0.51,3.86691,33.2318,2.767,41.6524,13.2322
0.696,85.8771,23.3632,0.511,3.86898,33.6304,2.768,36.9467,13.0293
0.697,86.6972,21.7546,0.512,3.87905,33.9673,2.769,31.4724,12.8863
0.698,87.5147,20.1838,0.513,3.88383,34.3048,2.77,26.2055,12.7913
0.699,88.2987,18.6712,0.514,3.87767,34.6245,2.771,21.8215,12.6925
0.7,88.9929,17.2304,0.515,3.89693,34.9889,2.772,18.1309,12.6508
0.701,89.5369,15.9323,0.516,3.88081,35.4029,2.773,14.9099,12.6969
0.702,89.8351,14.7741,0.517,3.88235,35.8389,2.774,12.1097,12.8163
0.703,89.7887,13.6897,0.518,3.87473,36.2879,2.775,9.69685,12.9879
0.704,89.2732,12.7031,0.519,3.8775,36.7464,2.776,7.61545,13.2336
