Time A1,Pressure A1,Volume A1,Time A2,Pressure A2,Volume A2,Time A3,Pressure A3,Volume A3
2.94,7.14408,36.4255,4.538,7.07542,26.5587,0.704,5.25808,18.0049
2.941,8.37732,36.4563,4.539,7.09621,26.8144,0.705,5.30052,18.2215
2.942,10.389,36.5494,4.54,7.13703,27.1108,0.706,5.33736,18.4464
2.943,14.3958,36.7854,4.541,7.17732,27.4214,0.707,5.36717,18.6752
2.944,20.1459,37.0448,4.542,7.22377,27.7316,0.708,5.3951,18.9044
2.945,26.4742,37.3724,4.543,7.23934,28.0315,0.709,5.40175,19.1308
2.946,33.1381,37.7295,4.544,7.27441,28.2826,0.71,5.42579,19.3689
2.947,39.876,38.0601,4.545,7.30066,28.5161,0.711,5.43707,19.5975
2.948,46.5377,38.3095,4.546,7.32202,28.7012,0.712,5.45501,19.8074
2.949,53.011,38.4251,4.547,7.34585,28.8926,0.713,5.45105,20.0056
2.95,59.1575,38.474,4.548,7.37145,29.0988,0.714,5.46132,20.1925
2.951,65.0604,38.5137,4.549,7.35953,29.2322,0.715,5.45944,20.3661
2.952,70.8611,38.4411,4.55,7.37009,29.2622,0.716,5.46883,20.5093
2.953,76.584,38.3039,4.551,7.37222,29.3594,0.717,5.45378,20.6151
2.954,81.891,38.0751,4.552,7.35814,29.5045,0.718,5.47333,20.6828
2.955,86.1948,37.782,4.553,7.33765,29.6484,0.719,5.4924,20.7442
2.956,89.2217,37.5482,4.554,7.35708,29.7021,0.72,5.54278,20.7983
2.957,91.1778,37.3762,4.555,7.37956,29.7863,0.721,5.59073,20.8509
2.958,92.3456,37.205,4.556,7.48105,29.8998,0.722,5.6969,20.9027
2.959,93.0598,37.0686,4.557,7.68814,30.095,0.723,5.83092,20.9507
2.96,93.5379,36.8725,4.558,8.14562,30.374,0.724,6.05565,21.0043
2.961,93.9328,36.6734,4.559,8.99976,30.7127,0.725,6.37718,21.0626
2.962,94.2309,36.4037,4.56,10.9818,31.1269,0.726,6.86295,21.1309
2.963,94.4874,36.0717,4.561,15.293,31.5866,0.727,7.57061,21.192
2.964,94.6585,35.6489,4.562,20.1579,32.1217,0.728,8.58932,21.2529
2.965,94.7637,35.0866,4.563,25.9364,32.696,0.729,10.0601,21.3103
2.966,94.7512,34.4212,4.564,32.7265,33.3572,0.73,12.1171,21.3875
2.967,94.5969,33.6536,4.565,40.1287,34.0197,0.731,14.6439,21.45
2.968,94.2755,32.735,4.566,48.0341,34.6786,0.732,17.6201,21.4954
2.969,93.8115,31.6894,4.567,56.3752,35.2828,0.733,20.9584,21.5291
2.97,93.2269,30.5292,4.568,65.2056,35.8401,0.734,24.6216,21.5637
2.971,92.5039,29.2732,4.569,74.5387,36.349,0.735,28.488,21.583
2.972,91.6688,28.0776,4.57,83.9897,36.8075,0.736,32.6257,21.5886
2.973,90.707,26.9301,4.571,92.5652,37.2259,0.737,36.9563,21.5712
2.974,89.6258,25.9412,4.572,98.6776,37.6199,0.738,41.4325,21.5421
2.975,88.4273,25.0663,4.573,101.987,37.9691,0.739,45.822,21.4758
2.976,87.1204,24.2829,4.574,103.592,38.2922,0.74,49.8965,21.3836
2.977,85.7757,23.6306,4.575,104.264,38.5563,0.741,53.5098,21.2711
2.978,84.4066,23.0508,4.576,104.683,38.7705,0.742,56.7279,21.1569
2.979,82.9994,22.575,4.577,105.285,38.8979,0.743,59.6061,21.0136
2.98,81.5912,22.1502,4.578,106.168,38.9835,0.744,62.1434,20.844
2.981,80.141,21.7427,4.579,107.232,38.9975,0.745,64.3627,20.65
2.982,78.5406,21.3922,4.58,108.322,38.9208,0.746,66.3689,20.4401
2.983,76.6932,21.0668,4.581,109.289,38.6933,0.747,68.2314,20.1965
2.984,74.3253,20.7343,4.582,110.037,38.3619,0.748,69.9841,19.934
2.985,70.3892,20.4622,4.583,110.626,37.9005,0.749,71.5927,19.6448
2.986,64.0978,20.1487,4.584,111.068,37.3301,0.75,73.0824,19.3352
2.987,58.0493,19.8493,4.585,111.373,36.6783,0.751,74.4001,18.979
2.988,52.8926,19.6144,4.586,111.578,35.938,0.752,75.5751,18.594
2.989,47.8957,19.4422,4.587,111.69,35.1504,0.753,76.5998,18.1776
2.99,42.8993,19.4128,4.588,111.723,34.3038,0.754,77.4897,17.7427
2.991,37.9449,19.4799,4.589,111.703,33.3759,0.755,78.2447,17.2788
2.992,33.2872,19.6187,4.59,111.629,32.4006,0.756,78.8657,16.7914
